06/04 09:33:31 PM | Arguments:
06/04 09:33:43 PM | Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.291922	Accuracy: 87.5071%
06/04 09:33:43 PM | Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.033191	Accuracy: 87.6374%
06/04 09:33:44 PM | Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.066534	Accuracy: 87.7707%
06/04 09:33:44 PM | Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.133938	Accuracy: 87.8957%
06/04 09:33:44 PM | Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.080020	Accuracy: 88.0327%
06/04 09:33:44 PM | Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.106855	Accuracy: 88.1615%
06/04 09:33:44 PM | Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.059837	Accuracy: 88.2975%
06/04 09:33:44 PM | Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.033816	Accuracy: 88.4191%
06/04 09:33:44 PM | Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.035857	Accuracy: 88.5459%
06/04 09:33:44 PM | Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.059312	Accuracy: 88.6630%
06/04 09:33:45 PM | Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.074579	Accuracy: 88.7792%
06/04 09:33:45 PM | Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.080259	Accuracy: 88.8983%
06/04 09:33:45 PM | Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.025594	Accuracy: 89.0045%
06/04 09:33:45 PM | Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.124486	Accuracy: 89.0902%
06/04 09:33:45 PM | Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.098686	Accuracy: 89.1834%
06/04 09:33:45 PM | Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.066871	Accuracy: 89.2686%
06/04 09:33:45 PM | Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.056910	Accuracy: 89.3423%
06/04 09:33:46 PM | Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.179659	Accuracy: 89.4047%
06/04 09:33:46 PM | Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.269000	Accuracy: 89.4954%
06/04 09:33:46 PM | Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.213362	Accuracy: 89.5968%
06/04 09:33:46 PM | Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.085486	Accuracy: 89.6777%
06/04 09:33:46 PM | Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.042461	Accuracy: 89.7657%
06/04 09:33:46 PM | Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.091398	Accuracy: 89.8482%
06/04 09:33:46 PM | Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.048738	Accuracy: 89.9341%
06/04 09:33:47 PM | Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.104619	Accuracy: 90.0094%
06/04 09:33:47 PM | Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.032176	Accuracy: 90.0899%
06/04 09:33:47 PM | Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.099662	Accuracy: 90.1602%
06/04 09:33:47 PM | Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.120506	Accuracy: 90.2256%
06/04 09:33:49 PM | Test set: Average loss: 0.0001, Accuracy: 9740/10000 (97.40%)

06/04 09:33:49 PM | Save model with best accuracy: 97.4000%
06/04 09:33:49 PM | Current best test accuracy: 97.4000%
06/04 09:33:49 PM | Train Epoch: 2 [0/60000 (0%)]	Loss: 0.097155	Accuracy: 96.8750%
06/04 09:33:49 PM | Train Epoch: 2 [640/60000 (1%)]	Loss: 0.032099	Accuracy: 97.8693%
06/04 09:33:50 PM | Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.021907	Accuracy: 98.2143%
06/04 09:33:50 PM | Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.136143	Accuracy: 97.7823%
06/04 09:33:50 PM | Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.055729	Accuracy: 97.8659%
06/04 09:33:50 PM | Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.069700	Accuracy: 97.8554%
06/04 09:33:50 PM | Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.043915	Accuracy: 97.8996%
